"Figure 3. Dissolved organic carbon (DOC) in Pulehu soils. Color represents sugarcane growing stages (i.e., blue-tillering, yellow-grand growth, green-maturity) when the soil samples were collected. Means followed by the same letter or no letters for the bars in each soil depth are not significantly different Tukeyâ€™s test at Pr < 0.05.",,,,,
x,footnote,y,site label,x axis label,y axis label,growing stage
16.3,b,100,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),maturity
23.6,a,100,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),grand growth
5.1,c,100,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),tillering
7.3,-,60,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),maturity
16.0,-,60,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),grand growth
6.0,-,60,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),tillering
43.0,a,30,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),maturity
39.3,a,30,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),grand growth
16.9,b,30,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),tillering
70.5,a,10,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),maturity
51.6,b,10,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),grand growth
35.5,b,10,H-65-7052 Pulehu,DOC (ppm),Soil depth (cm),tillering
22.3,-,100,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),maturity
45.8,-,100,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),grand growth
6.5,-,100,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),tillering
23.2,-,60,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),maturity
10.4,-,60,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),grand growth
6.1,-,60,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),tillering
40.2,-,30,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),maturity
24.2,-,30,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),grand growth
25.2,-,30,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),tillering
30.6,-,10,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),maturity
37.0,-,10,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),grand growth
45.1,-,10,H-78-3567 Pulehu,DOC (ppm),Soil depth (cm),tillering
12.8,-,100,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),maturity
48.9,-,100,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),grand growth
6.0,-,100,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),tillering
30.4,-,60,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),maturity
8.9,-,60,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),grand growth
7.1,-,60,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),tillering
47.0,-,30,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),maturity
14.7,-,30,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),grand growth
36.9,-,30,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),tillering
120.9,a,10,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),maturity
34.7,b,10,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),grand growth
34.3,b,10,H-86-3792 Pulehu,DOC (ppm),Soil depth (cm),tillering
1.9,-,100,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),maturity
36.8,-,100,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),grand growth
6.5,-,100,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),tillering
4.6,-,60,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),maturity
10.6,-,60,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),grand growth
6.1,-,60,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),tillering
19.1,-,30,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),maturity
18.1,-,30,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),grand growth
23.8,-,30,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),tillering
108.0,a,10,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),maturity
37.7,b,10,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),grand growth
43.0,b,10,H-87-4319 Pulehu,DOC (ppm),Soil depth (cm),tillering
