Table 2. Basal area and soil and leaf nutrients across a Mean Annual Precipitation (MAP) gradient for Acacia koa stands at 1600–1650 m elevation. Mean ± SE. Values within a row followed by the same letter do not differ significantly (P < 0.05). HONO = Honomalino Forest; HAVO = Hawaii Volcanoes National Park; KR = Keauhou Ranch.,,,
,HONO,HAVO,KR
MAP (mm),1000,1500,2000
Basal area (m2 ha-1),28.0ab+-6.45,20.8b+-9.35,54.7a+-6.96
LMA (g m-2),253a+-11.4,225a+-26.8,193a+-24.4
Leaf N (%),1.53b+-0.139,2.12a+-0.110,2.30a+-0.014
Leaf N (g m-2),3.88a+-0.353,4.46a+-0.404,4.43a+-0.664
Leaf P (%),0.057b+-0.006,0.110a+-0.017,0.083ab+-0.006
Leaf P (g m-2),0.143a+-4.70,0.210a+-0.014,0.160ab+-0.026
Leaf P Soil N (μg cm-2),24.7a+-4.70,25.0a+-0.933,22.3a+-0.562
Leaf P Soil P (μg cm-2),0.073b+-0.002,0.129a+-0.002,0.052c+-0.004
N mineralization  (μg g-1) aerobic,221a+-26.9,45.6b+-7.20,37.9b+-35.9
N mineralization (μg g-1) anaerobic,309a+-5.91,133c+-19.4,214b+-27.6
P fractions (μg g-1) Resin-Pi,2.61a+-0.34,0.98ab+-0.44,0.08b+-0.05
P fractions (μg g-1) NaOH-Pi,86.2a+-10.6,103.0a+-0.70,70.3a+-5.11
P fractions (μg g-1) NaOH-Po,313a+-65.7,167a+-37.1,617a+-135
P fractions (μg g-1) HCl-Pi,153b+-3.90,251a+-35.8,78.6b+-9.17
P fractions (μg g-1) SOM (%),47.7b+-1.35,28.7c+-3.06,58.4a+-2.65
P fractions (μg g-1) Soil C (%),31.2a+-3.62,15.2c+-3.17,23.7b+-1.33
P fractions (μg g-1) Soil N (%),2.28a+-0.46,1.29c+-0.14,1.69b+-0.07
P fractions (μg g-1) C:N,13.6ab+-0.76,11.8b+-0.18,14.0a+-0.21